ID;Name;Price
1;Product1;88.8273876599282
2;Product2;21.370025938399383
3;Product3;3.0587972264638377
4;Product4;77.38746485151547
5;Product5;66.19606450647262
6;Product6;66.09782559066868
7;Product7;68.44741137848966
8;Product8;18.262067720560204
9;Product9;96.07516053827216
10;Product10;99.45948450307296
11;Product11;35.34298782057865
12;Product12;80.06086289185447
13;Product13;62.478105104332634
14;Product14;94.45485078023552
15;Product15;27.85158916623798
16;Product16;100.91922040950034
17;Product17;43.16016401471641
18;Product18;99.8028598237529
19;Product19;1.0963427821720098
20;Product20;42.52910655754907
